Column1,B350ML22 2024-03-20_14-43-31_1.obj,B350ML22 2024-03-20_14-43-31_2.obj,B350ML22 2024-03-20_14-43-31_3.obj,B350ML22 2024-03-20_14-43-31_4.obj,B350ML22 2024-03-20_14-43-31_5.obj,Pre Process Median,Column1,B350ML22 2024-03-20_14-43-31_1-LRSnp.obj,B350ML22 2024-03-20_14-43-31_2-CFW-RAp-LRSnp.obj,B350ML22 2024-03-20_14-43-31_3-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_4-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_5-CFW-LRAp-RSh-LRSnp.obj,Median,Column1,Difference in median values processed to non processed Scan 1
S01w_Seat_Circ_Width_086w,33.13,33.75,33.11,33.06,32.99,33.11,S01w_Seat_Circ_Width_086w,33.13,33.75,33.11,33.06,32.99,33.11,S01w_Seat_Circ_Width_086w,0
S01h_Seat_Circ_Height_086h,91.12,88.73,91.08,91.56,91.69,91.12,S01h_Seat_Circ_Height_086h,91.12,88.73,91.08,91.56,91.69,91.12,S01h_Seat_Circ_Height_086h,0
S01zf_Seat_Z_Point_Fr_086zf,7.83,8.18,7.91,7.93,7.83,7.91,S01zf_Seat_Z_Point_Fr_086zf,7.83,8.18,7.91,7.93,7.83,7.91,S01zf_Seat_Z_Point_Fr_086zf,0
S01zb_Seat_Z_Point_Bk_086zb,-16.52,-16.22,-16.33,-16.36,-16.41,-16.36,S01zb_Seat_Z_Point_Bk_086zb,-16.52,-16.22,-16.33,-16.36,-16.41,-16.36,S01zb_Seat_Z_Point_Bk_086zb,0
H01c_Hip_CircTM_085c,96.94,96.91,96.8,96.84,96.92,96.91,H01c_Hip_CircTM_085c,96.94,96.91,96.8,96.84,96.92,96.91,H01c_Hip_CircTM_085c,0
H01f_Hip_Fr_Arc_085f,43.56,44.8,44.06,44.11,45.45,44.11,H01f_Hip_Fr_Arc_085f,43.56,44.8,44.06,44.11,45.45,44.11,H01f_Hip_Fr_Arc_085f,0
H01b_Hip_Bk_Arc_085b,53.31,52.05,52.68,52.68,51.41,52.68,H01b_Hip_Bk_Arc_085b,53.31,52.05,52.68,52.68,51.41,52.68,H01b_Hip_Bk_Arc_085b,0
H01d_Hip_Circ_Depth_085d,24.13,23.92,23.95,23.73,24.14,23.95,H01d_Hip_Circ_Depth_085d,24.13,23.92,23.95,23.73,24.16,23.95,H01d_Hip_Circ_Depth_085d,0
H01w_Hip_Circ_Width_085w,35.61,35.72,35.64,35.79,35.69,35.69,H01w_Hip_Circ_Width_085w,35.61,35.72,35.65,35.79,35.67,35.67,H01w_Hip_Circ_Width_085w,-0.02
H01h_Hip_Circ_Height_085h,83.99,83.52,83.44,83.14,83.51,83.51,H01h_Hip_Circ_Height_085h,83.99,83.52,83.43,83.13,83.6,83.52,H01h_Hip_Circ_Height_085h,0.01
H01zf_Hip_Circ_Fr_Z_085zf,8.59,8.79,8.68,8.73,8.74,8.73,H01zf_Hip_Circ_Fr_Z_085zf,8.59,8.79,8.68,8.73,8.74,8.73,H01zf_Hip_Circ_Fr_Z_085zf,0
H01zb_Hip_Circ_Bk_Z_085zb,-15.54,-15.13,-15.27,-15,-15.4,-15.27,H01zb_Hip_Circ_Bk_Z_085zb,-15.54,-15.13,-15.27,-15,-15.42,-15.27,H01zb_Hip_Circ_Bk_Z_085zb,0
